codigo_suministro,operacion_apertura,Horas Inter,ENS $,Mes
352863101,106291852,"12,14","335,91",4
303264502,105928139,"10,49","334,26",4
366597601,106339785,"0,13","333,04",4
355985401,105138033,"6,72","332,37",4
350344402,106711427,"1,43","331,04",4
360162601,106292376,"12,80","328,64",4
362626601,106012974,"6,38","327,81",4
322898901,105729964,"14,89","327,42",4
361561301,105691324,"7,72","327,12",4
318832805,105106141,"0,07","327,10",4
320857402,106842089,"9,72","326,01",4
317331501,104912117,"6,84","325,38",4
354355601,105137491,"6,97","323,39",4
358212202,104720751,"1,86","323,38",4
367116501,105448083,"6,23","318,71",4
321836901,105959137,"4,76","317,82",4
311233202,106214079,"0,73","317,06",4
312861401,106839602,"10,39","316,48",4
322659002,105553330,"25,19","315,47",4
308132503,105880312,"12,46","315,43",4
323292801,104833869,"6,05","313,98",4
300574402,105190462,"9,58","313,93",4
315304901,105231441,"14,00","313,62",4
352500701,106834288,"11,27","311,79",4
354895501,105371985,"10,65","310,73",4
327105407,106421412,"13,60","309,21",4
315178601,104752958,"9,31","308,48",4
353180101,105357817,"13,00","308,40",4
323337801,105058772,"5,58","307,41",4
329231001,106836537,"10,96","304,55",4
320631602,105022419,"5,71","299,82",4
302404702,106257869,"13,01","299,62",4
320563902,105385622,"21,76","299,07",4
317523603,106360662,"1,80","296,82",4
307151902,106836891,"10,89","296,47",4
359931401,106434354,"9,11","296,24",4
329337801,106837939,"10,73","294,21",4
362282201,106386182,"10,69","293,78",4
362763601,104717170,"1,59","292,92",4
328940901,106548352,"7,23","292,66",4
313885002,106007195,"2,31","292,17",4
362559801,106184509,"5,66","290,84",4
321458801,105061159,"5,10","290,72",4
329682803,106850667,"6,47","290,09",4
366826701,106742182,"1,77","289,48",4
329011402,105075634,"15,36","288,68",4
337328301,106478979,"0,11","288,51",4
303776301,104750473,"9,65","288,44",4
355421501,105992689,"13,62","287,60",4
358746201,104931908,"5,69","286,85",4
357721008,104801527,"10,27","285,54",4
309170601,104784342,"7,01","283,44",4
353898901,106809649,"10,70","283,01",4
317573504,105484717,"8,02","281,82",4
309997101,106478511,"14,00","281,74",4
326804503,105289356,"5,99","281,16",4
322694401,105181989,"11,52","279,16",4
359243001,105825073,"10,29","278,13",4
309666602,105688591,"14,35","278,02",4
326704801,106818477,"5,15","277,47",4
329825501,105302508,"52,52","277,29",4
311049201,106840213,"19,21","276,83",4
308346701,105658508,"9,61","274,53",4
307571201,106844917,"9,00","270,24",4
330763301,106792174,"8,45","268,81",4
312618502,106826979,"5,88","267,48",4
323323303,104806122,"6,53","266,20",4
317066402,106667618,"4,83","265,11",4
367574801,105931666,"5,94","265,00",4
306821102,106828734,"12,11","264,24",4
315200501,104752772,"9,51","263,89",4
362200501,105128455,"6,19","262,83",4
305846002,106674073,"14,74","262,64",4
321453102,105078858,"1,03","258,34",4
306273501,106840407,"12,72","257,49",4
352118204,106268581,"2,41","254,05",4
319155902,105223898,"2,48","253,63",4
302555001,105181741,"9,50","253,35",4
350518203,106832108,"4,27","253,21",4
307859201,106423144,"13,20","251,16",4
321948202,104956442,"1,83","251,00",4
361525101,105756399,"17,81","249,02",4
366049201,105488983,"10,24","248,65",4
329751901,105481266,"9,11","248,26",4
